,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
PointEstimate,247558,33085,42739,142324,21839,44133,130838,10043,39438,77306,8737,23143,75878,6921,25355,110408,9394,45789,100109,6927,27649,102562,5449,26583,58646,4586,21540,45361,6342,19263,74153,10182,30338,98864,10159,23409
Median,247569,33070,42732,142328,21837,44122,130823,10040,39453,77319,8735,23137,75872,6925,25366,110417,9391,45784,100097,6934,27639,102567,5449,26576,58641,4583,21531,45361,6342,19256,74158,10185,30341,98866,10148,23408
1,248190,32800,42392,141352,21352,45591,131087,9998,39236,77235,8827,23124,74999,7005,26150,110408,9394,45789,100786,6341,27557,102780,5786,26028,58825,4232,21714,45720,6451,18795,73912,10332,30430,98013,9927,24492
2,247412,32876,43093,142369,20521,45406,130881,10155,39285,76965,9051,23170,74976,7384,25794,110785,9761,45045,98941,7543,28200,103161,5244,26188,59024,4329,21418,44836,6391,19739,74483,9973,30217,97495,10090,24848
3,246530,33934,42918,141620,22122,44554,130909,10367,39043,76592,9050,23544,75955,6875,25324,110551,9470,45571,99521,7296,27867,102424,5573,26597,59533,4477,20761,45248,6376,19342,73928,10258,30487,98460,9787,24185
4,247729,33066,42587,142668,21597,44031,131159,9986,39175,77690,8389,23107,76425,6657,25072,109763,8854,46974,100669,6937,27078,103189,5047,26358,59120,4744,20907,45100,6436,19430,74047,9964,30662,99008,10011,23413
5,246705,32902,43775,142680,21784,43832,131989,9395,38937,77282,8570,23334,76455,7297,24402,109456,9217,46918,99836,6992,27856,102602,5432,26560,58506,4383,21882,46299,6163,18504,74000,10330,30343,98605,10584,23243
6,250092,33149,40142,142185,21902,44209,130194,9759,40367,77186,8632,23368,76191,6640,25323,110352,9002,46237,99652,7176,27856,101984,5578,27033,58111,5005,21654,45561,6653,18752,75115,9351,30207,98611,10145,23676
7,246853,33265,43264,142584,21520,44193,131568,9815,38937,76957,8704,23525,76112,7154,24888,108708,10059,46823,100326,6722,27635,101998,5619,26977,58411,4930,21430,45050,6046,19870,73663,10098,30912,99185,9981,23266
8,245744,34612,43025,141217,22026,45053,132054,9655,38611,76512,9002,23672,76141,6571,25442,110679,9287,45625,99739,7451,27494,102330,5551,26712,58510,4454,21807,45249,6307,19409,73560,10586,30527,98916,9869,23646
9,247101,32773,43508,142527,21893,43876,131092,9870,39358,77881,8560,22746,75588,7275,25291,110328,9174,46089,99822,7153,27709,102785,5674,26135,58828,4666,21277,45331,6421,19214,73811,10450,30412,98371,10561,23500
10,247809,33006,42567,142882,21953,43461,130930,10141,39249,77380,8361,23445,74419,6964,26772,111459,9460,44671,99643,7553,27489,102275,5437,26882,58150,4438,22183,45192,6513,19260,73657,10614,30402,99086,10415,22931
11,247335,33003,43044,142346,21801,44149,130938,9890,39493,77171,8632,23384,76525,6593,25036,111106,9007,45478,99907,6990,27786,102863,5361,26370,59091,4587,21093,45776,6462,18728,74753,9826,30094,99508,10201,22723
