Ladder,Species,Date,Window Count Hours,Period,Rear Type,Tag Stage,TagID,Coil,Detection DateTime,TravelTime,Weir Detection,WD Hours,WD Date,TagID Ascent Count,Same Day,Previous Weir Detect,Previous Hours,Previous Days,Previous Date,Release Year,Release DateTime,Run,Length,Capture Method,Flag Codes,Release Site,Tag File
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DCFA219,18,2013-10-15 09:53:24,913.9,Y,2.41,2013.10.15 13:17:45,,,,,,,2011,2011-04-15 12:00:00,2,,DIPNET,AD,CLWRSF,BDL11061.W43
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DCFA219,16,2013-10-15 09:53:24,913.9,Y,2.41,2013.10.15 13:17:45,,,,,,,2011,2011-04-15 12:00:00,2,,DIPNET,AD,CLWRSF,BDL11061.W43
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DCFA219,14,2013-10-15 09:53:25,913.9,Y,2.41,2013.10.15 13:17:45,,,,,,,2011,2011-04-15 12:00:00,2,,DIPNET,AD,CLWRSF,BDL11061.W43
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DCFA219,12,2013-10-15 09:53:25,913.9,Y,2.41,2013.10.15 13:17:45,,,,,,,2011,2011-04-15 12:00:00,2,,DIPNET,AD,CLWRSF,BDL11061.W43
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DE12AE1,18,2013-10-15 15:53:43,553.2,Y,18.60,2013.10.16 11:29:33,,,,,,,2012,2012-04-10 10:00:00,2,,DIPNET,CW,MEAD2C,BDL12066.W12
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DE12AE1,16,2013-10-15 15:53:43,553.2,Y,18.60,2013.10.16 11:29:33,,,,,,,2012,2012-04-10 10:00:00,2,,DIPNET,CW,MEAD2C,BDL12066.W12
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DE12AE1,14,2013-10-15 15:53:43,553.2,Y,18.60,2013.10.16 11:29:33,,,,,,,2012,2012-04-10 10:00:00,2,,DIPNET,CW,MEAD2C,BDL12066.W12
GRA,3,2013.10.15,0400-2000,D,H,J,3D9.1C2DE12AE1,12,2013-10-15 15:53:44,553.2,Y,18.60,2013.10.16 11:29:33,,,,,,,2012,2012-04-10 10:00:00,2,,DIPNET,CW,MEAD2C,BDL12066.W12
GRA,3,2013.10.30,0400-2000,D,H,A,3DD.003BB936B4,18,2013-10-30 10:22:42,30.0,Y,1.32,2013.10.30 12:41:42,,,,,,,2013,2013-09-30 11:08:00,5,580,PSEINE,RF AT AD Q5,COLR3,CAG13273.P01
GRA,3,2013.10.30,0400-2000,D,H,A,3DD.003BB936B4,16,2013-10-30 10:22:42,30.0,Y,1.32,2013.10.30 12:41:42,,,,,,,2013,2013-09-30 11:08:00,5,580,PSEINE,RF AT AD Q5,COLR3,CAG13273.P01
GRA,3,2013.10.30,0400-2000,D,H,A,3DD.003BB936B4,14,2013-10-30 10:22:42,30.0,Y,1.32,2013.10.30 12:41:42,,,,,,,2013,2013-09-30 11:08:00,5,580,PSEINE,RF AT AD Q5,COLR3,CAG13273.P01
GRA,3,2013.10.30,0400-2000,D,H,A,3DD.003BB936B4,12,2013-10-30 10:22:43,30.0,Y,1.32,2013.10.30 12:41:42,,,,,,,2013,2013-09-30 11:08:00,5,580,PSEINE,RF AT AD Q5,COLR3,CAG13273.P01
GRA,3,2013.10.01,0400-2000,D,H,J,3D9.1C2DD41B9C,18,2013-10-01 16:33:25,525.2,Y,0.88,2013.10.01 18:26:26,,,,,,,2012,2012-04-24 12:45:00,2,,DIPNET,AD,SAWT,BDL11305.H42
GRA,3,2013.10.01,0400-2000,D,H,J,3D9.1C2DD41B9C,16,2013-10-01 16:33:25,525.2,Y,0.88,2013.10.01 18:26:26,,,,,,,2012,2012-04-24 12:45:00,2,,DIPNET,AD,SAWT,BDL11305.H42
GRA,3,2013.10.01,0400-2000,D,H,J,3D9.1C2DD41B9C,14,2013-10-01 16:33:26,525.2,Y,0.88,2013.10.01 18:26:26,,,,,,,2012,2012-04-24 12:45:00,2,,DIPNET,AD,SAWT,BDL11305.H42
GRA,3,2013.10.01,0400-2000,D,H,J,3D9.1C2DD41B9C,12,2013-10-01 16:33:26,525.2,Y,0.88,2013.10.01 18:26:26,,,,,,,2012,2012-04-24 12:45:00,2,,DIPNET,AD,SAWT,BDL11305.H42
GRA,3,2013.10.07,0400-2000,D,H,J,3D9.1C2DD3F529,18,2013-10-07 07:26:07,558.9,Y,1.10,2013.10.07 09:32:05,,,,,,,2012,2012-03-27 10:30:00,2,,DIPNET,AD,LSHEEF,BCJ11347.T27
GRA,3,2013.10.07,0400-2000,D,H,J,3D9.1C2DD3F529,16,2013-10-07 07:26:07,558.9,Y,1.10,2013.10.07 09:32:05,,,,,,,2012,2012-03-27 10:30:00,2,,DIPNET,AD,LSHEEF,BCJ11347.T27
GRA,3,2013.10.07,0400-2000,D,H,J,3D9.1C2DD3F529,14,2013-10-07 07:26:07,558.9,Y,1.10,2013.10.07 09:32:05,,,,,,,2012,2012-03-27 10:30:00,2,,DIPNET,AD,LSHEEF,BCJ11347.T27
GRA,3,2013.10.07,0400-2000,D,H,J,3D9.1C2DD3F529,12,2013-10-07 07:26:08,558.9,Y,1.10,2013.10.07 09:32:05,,,,,,,2012,2012-03-27 10:30:00,2,,DIPNET,AD,LSHEEF,BCJ11347.T27
GRA,3,2013.04.08,0400-2000,D,W,J,3D9.1C2D7E5B54,18,2013-04-08 09:45:19,1072.6,Y,2.21,2013.04.08 12:57:37,,,,,,,2010,2010-05-01 20:30:00,2,148,SCREWT,,IMNTRP,BDM10121.NT1
