Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,TempC
Lower Granite,2009-03-03,,,,34,12,,,,,,,
Lower Granite,2009-03-04,,,,149,34,,,,,,,
Lower Granite,2009-03-05,,,,46,6,,,,,,,
Lower Granite,2009-03-06,,,,73,18,,,,,,,
Lower Granite,2009-03-07,,,,77,20,,,,,,,
Lower Granite,2009-03-08,,,,282,49,,,,,,,
Lower Granite,2009-03-09,,,,135,23,,,,,,,
Lower Granite,2009-03-10,,,,132,32,,,,,,,
Lower Granite,2009-03-11,,,,90,15,,,,,,,
Lower Granite,2009-03-12,,,,32,6,,,,,,,
Lower Granite,2009-03-13,,,,75,15,,,,,,,
Lower Granite,2009-03-14,,,,41,9,,,,,,,
Lower Granite,2009-03-15,,,,86,25,,,,,,,
Lower Granite,2009-03-16,,,,44,6,,,,,,,
Lower Granite,2009-03-17,Sp,,,50,14,,,,,,,
Lower Granite,2009-03-18,Sp,,,62,17,,,,,,,
Lower Granite,2009-03-19,Sp,,,33,9,,,,,,,
Lower Granite,2009-03-20,Sp,,,175,49,,,,,,,
Lower Granite,2009-03-21,Sp,,,409,71,,,,,,,
Lower Granite,2009-03-22,Sp,,,290,69,,,,,,,
Lower Granite,2009-03-23,Sp,,,157,25,,,,,,,
Lower Granite,2009-03-24,Sp,,,204,38,,,,,,,
Lower Granite,2009-03-25,Sp,,,236,48,,,,,,,6.4
Lower Granite,2009-03-26,Sp,,,202,46,,,,,,,6.4
Lower Granite,2009-03-27,Sp,,,236,42,,,,,,,6.4
Lower Granite,2009-03-28,Sp,,,311,35,,,,,,,6.4
Lower Granite,2009-03-29,Sp,,,137,19,,,,,,,6.2
Lower Granite,2009-03-30,Sp,,,194,30,,,,,,,6.2
Lower Granite,2009-03-31,Sp,,,321,45,,,,,,,6.2
Lower Granite,2009-04-01,Sp,,,309,92,,,,,,,6.3
Lower Granite,2009-04-02,Sp,,,361,107,,,,,,,6.2
Lower Granite,2009-04-03,Sp,,,265,84,,,,,,,6
Lower Granite,2009-04-04,Sp,,,282,102,,,,,,,5.8
Lower Granite,2009-04-05,Sp,,,242,66,,,,,,,6.1
Lower Granite,2009-04-06,Sp,,,232,82,,,,,,,6.3
Lower Granite,2009-04-07,Sp,,,204,71,,,,,,,6.8
Lower Granite,2009-04-08,Sp,,,230,58,,,,,,,7.3
Lower Granite,2009-04-09,Sp,,,294,96,,,,,,,7.7
Lower Granite,2009-04-10,Sp,,,268,89,,,,,,,8.1
Lower Granite,2009-04-11,Sp,,,345,110,,,,,,,8.3
Lower Granite,2009-04-12,Sp,1,,252,98,,,,,,,8.1
Lower Granite,2009-04-13,Sp,,,258,84,,,,,,,8.2
Lower Granite,2009-04-14,Sp,,,238,68,,,,,,,7.9
Lower Granite,2009-04-15,Sp,1,,210,72,,,,,,,8.1
Lower Granite,2009-04-16,Sp,1,,184,76,,,,,,,7.9
Lower Granite,2009-04-17,Sp,,,160,50,,,,,,,7.6
Lower Granite,2009-04-18,Sp,2,,183,71,,,,,,,7.7
Lower Granite,2009-04-19,Sp,,,152,49,,,,,,,8.2
Lower Granite,2009-04-20,Sp,,,214,82,,,,,,,8.6
Lower Granite,2009-04-21,Sp,2,1,167,82,,,,,,,9
Lower Granite,2009-04-22,Sp,,,152,70,,,,,,,9.3
Lower Granite,2009-04-23,Sp,1,,167,73,,,,,,,9.3
Lower Granite,2009-04-24,Sp,10,,131,83,,,,,,,9.1
Lower Granite,2009-04-25,Sp,13,,100,56,,,,,,,8.6
Lower Granite,2009-04-26,Sp,10,,92,48,,,,,,,8.4
Lower Granite,2009-04-27,Sp,6,,61,42,,,,,,,8.5
Lower Granite,2009-04-28,Sp,16,,71,43,,,,,,,8.7
Lower Granite,2009-04-29,Sp,14,,53,29,,,,,,,8.7
Lower Granite,2009-04-30,Sp,17,,41,29,,,,,,,8.6
Lower Granite,2009-05-01,Sp,24,,41,23,,,,,,,8.6
Lower Granite,2009-05-02,Sp,48,4,37,20,,,,,,,9
Lower Granite,2009-05-03,Sp,74,1,43,23,,,,,,,9.4
Lower Granite,2009-05-04,Sp,80,10,22,16,,,,,,,9.7
Lower Granite,2009-05-05,Sp,121,2,18,12,,,,,,,9.8
Lower Granite,2009-05-06,Sp,262,18,43,31,,,,,,,9.9
Lower Granite,2009-05-07,Sp,416,35,39,35,,,,,,,10.1
Lower Granite,2009-05-08,Sp,800,56,43,31,,,,,,,9.9
Lower Granite,2009-05-09,Sp,892,137,38,30,,,,,,,9.9
Lower Granite,2009-05-10,Sp,756,144,32,20,,,,,,,10
Lower Granite,2009-05-11,Sp,1066,164,32,26,,,,,,,10.2
Lower Granite,2009-05-12,Sp,1436,324,20,14,,,,,,,10.5
Lower Granite,2009-05-13,Sp,1195,262,18,11,,,,,,,10.9
Lower Granite,2009-05-14,Sp,1769,454,11,10,,,,,,,10.9
Lower Granite,2009-05-15,Sp,1752,592,8,6,,,,,,,10.3
Lower Granite,2009-05-16,Sp,1590,724,17,13,,,,,,,10.5
Lower Granite,2009-05-17,Sp,2430,1291,21,16,,,,,,,10.9
Lower Granite,2009-05-18,Sp,1602,1171,13,11,,,,,,,11.5
Lower Granite,2009-05-19,Sp,1765,1808,22,16,,,,,,,12.3
Lower Granite,2009-05-20,Sp,1909,1698,4,4,,,,,,,12
Lower Granite,2009-05-21,Sp,1648,1676,9,7,,,,,,,10.5
Lower Granite,2009-05-22,Sp,1157,1254,1,1,,,,,,,10.5
Lower Granite,2009-05-23,Sp,634,775,2,2,,,,,,,10.7
Lower Granite,2009-05-24,Sp,1081,1518,2,2,,,,,,,11.3
Lower Granite,2009-05-25,Sp,1526,2068,2,2,,,,,,,11.9
Lower Granite,2009-05-26,Sp,671,1081,5,4,,,,,,,11.7
Lower Granite,2009-05-27,Sp,972,1250,1,1,,,,,,,11.4
Lower Granite,2009-05-28,Sp,1234,1061,,,,,,,,,11.6
Lower Granite,2009-05-29,Sp,928,904,2,1,,,,,,,11.8
Lower Granite,2009-05-30,Sp,587,452,2,2,,,,,,,12.2
Lower Granite,2009-05-31,Sp,745,510,2,1,,,,,,,12.4
Lower Granite,2009-06-01,Sp,768,649,1,,,,,,,,12.5
Lower Granite,2009-06-02,Sp,940,763,1,1,,,,,,,12.4
Lower Granite,2009-06-03,Sp,1474,856,2,2,,,,,,,12.4
Lower Granite,2009-06-04,Sp,1307,688,,,,,,,,,12.6
Lower Granite,2009-06-05,Sp,1228,624,4,2,,,,,,,12.9
Lower Granite,2009-06-06,Sp,1435,642,1,1,,,,,,,13.3
Lower Granite,2009-06-07,Sp,803,397,1,,,,,,,,13.4
Lower Granite,2009-06-08,Sp,604,383,1,,,,,,,,12.8
Lower Granite,2009-06-09,Sp,972,493,1,,,,,,,,12.7
Lower Granite,2009-06-10,Sp,799,487,9,2,,,,,,,13.1
Lower Granite,2009-06-11,Sp,1235,449,6,1,,,,,,,13.5
Lower Granite,2009-06-12,Sp,1111,380,8,1,,,,1,,,13.9
Lower Granite,2009-06-13,Sp,1400,509,7,,,,,2,,,14.3
Lower Granite,2009-06-14,Sp,1567,650,7,,,,,2,,,14.7
Lower Granite,2009-06-15,Sp,758,390,13,2,,,,6,,,14.8
Lower Granite,2009-06-16,Sp,1192,679,17,,1,,,1,,,14.7
Lower Granite,2009-06-17,Sp,810,580,13,1,,,,6,,,14.9
Lower Granite,2009-06-18,Su,658,557,17,,,,,7,,,15.1
Lower Granite,2009-06-19,Su,1132,575,23,4,1,,,16,,,15.6
Lower Granite,2009-06-20,Su,1094,571,25,2,,,,28,,,15.5
